,Name,Locus,Condition,Rep,Value
12,Neg,VEGFA,Dark,1,3.39
13,Pos,VEGFA,Dark,1,54.47
14,K487-LOV,VEGFA,Dark,1,43.99
15,Neg,VEGFA,Dark,2,3.97
16,Pos,VEGFA,Dark,2,48.05
17,K487-LOV,VEGFA,Dark,2,34.02
18,Neg,VEGFA,Light,1,
19,Pos,VEGFA,Light,1,58.98
20,K487-LOV,VEGFA,Light,1,18.85
21,Neg,VEGFA,Light,2,
22,Pos,VEGFA,Light,2,51.68
23,K487-LOV,VEGFA,Light,2,12.7
