,Name,Locus,Condition,Rep,Value
0,Neg,RUNX,Dark,1,3.4
1,Pos,RUNX,Dark,1,33.73
2,K487-LOV,RUNX,Dark,1,35.54
3,Neg,RUNX,Dark,2,2.06
4,Pos,RUNX,Dark,2,30.41
5,K487-LOV,RUNX,Dark,2,21.92
6,Neg,RUNX,Light,1,
7,Pos,RUNX,Light,1,41.47
8,K487-LOV,RUNX,Light,1,11.66
9,Neg,RUNX,Light,2,
10,Pos,RUNX,Light,2,31.88
11,K487-LOV,RUNX,Light,2,6.87
